,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,适宜人群,装修描述,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
2424,机械一村中高层为位置，采光无忧看中在谈,62.8万,8912,钟楼区五星,机械一村社区,3室1厅1厨1卫,中楼层 (共5层),70.47㎡,暂无数据,暂无数据,塔楼,南,砖混结构,毛坯,暂无数据,无,暂无数据,2023-09-05,商品房,2020-09-05,普通住宅,满两年,非共有,无抵押,已上传房本照片,两房朝南简单装修，中高层位置。交通方便,,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,出门公交方便，出门不久便是购物、公园、娱乐场、美食街齐全，城市生活中闹中取静的生活好地方,1、业主换房，诚意出售！房源真实，随时看房。 2、产权在手，满两年，二手房，房源已验，看房方便。,,,,,,,,,,
2425,金地花苑 1室1厅 南,105万,16189,钟楼区五星,金地花苑,1室1厅1厨1卫,高楼层 (共31层),64.86㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-10-24,商品房,2019-08-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,042472992838,,,,,
2426,龙湖天街旁 精装  房间客厅都朝南,125万,14398,钟楼区五星,新城香悦半岛北区,2室2厅1厨1卫,高楼层 (共34层),86.82㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-05,商品房,2019-11-05,普通住宅,满两年,共有,有抵押 50万元 公积金 业主自还,已上传房本照片,龙湖天街旁 精装 双开间朝南 诚心卖,新城香悦半岛是新城控股向端品质住宅进军的先锋产品，分三期三个小区，别墅区2012年完工（35幢别墅），南区2013年完工（8幢高层住宅），北区2015年完工（5幢高层住宅）。新城控股出品，保障！！！,此房属于板楼建筑形式，两梯两户（当下炒作的一梯一户），得房率高，四开间朝南（阳光进深设计），南北三阳台设计（主阳台实用面积20平，独享），动静分离（功能间独立互不打扰，不拥挤），边户让通风更通风。,"契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、个税：产证满五年且是房主在本市唯一一套住房，免收个税",,,,,,,,,,,,
2427,五星公园旁 近地铁2号线 华府家园 电梯小户型 低总价,78万,12661,钟楼区五星,华府家园,1室1厅1厨1卫,中楼层 (共7层),61.61㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-06-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 邮政储蓄 客户偿还,未上传房本照片,五星公园旁 近地铁2号线 客厅朝南  采光充足 配套完善 交通便利,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 。2税： 满两年不论面积 全免 不满二年 收全额的5.6%,配套设施齐全，美食一条街和五星公园，大卖场生活方便，环境好。,,,出行方便，小区门口便是五星公园，大卖场金地假日广场公交车站台。,,,,,,,,
2428,凯纳商务广场，70年产权小面积，楼层好,40万,10189,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,中楼层 (共60层),39.26㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2023-08-23,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,小面积的房子，楼层好采光好看房方便交通便利,小区环境好，物业管理人性化，人员素质高，交通便利，小区内有各种健身器材,,1首套房，90平米以下成交价的1，90平米以上成交价的1.5二套房90平以上成交价的2；2增值税产证满2年免收增值税未满2年征收5.3个税,,,,,,此房装修清爽 符合年轻小俩口 房东爱干净装修保养好装修设计合理,,,民水,民电,2.45元/m3,
2429,精 装 修 位 置 好 出 行 方 便,45.8万,11666,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,中楼层 (共60层),39.26㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2023-09-20,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,装 修 好， 无 抵 押， 满 五 年，出行方便。,,精装小户型，一眼看到底了，方方正正，下午也会有太阳，临小路，安安静静的,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,处于关河路和通江路的交接处，19条公交线路可以到，三公里内有常州火车站，龙城高架,,,,,民水,民电,2.45元/m3,
2430,凯纳商务广场，70年产权小面积，楼层好,40万,10189,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,中楼层 (共60层),39.26㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2023-08-23,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,小面积的房子，楼层好采光好看房方便交通便利,小区环境好，物业管理人性化，人员素质高，交通便利，小区内有各种健身器材,,1首套房，90平米以下成交价的1，90平米以上成交价的1.5二套房90平以上成交价的2；2增值税产证满2年免收增值税未满2年征收5.3个税,,,,,,此房装修清爽 符合年轻小俩口 房东爱干净装修保养好装修设计合理,,,民水,民电,2.45元/m3,
2431,都市桃源一期 1室1厅 南 北,65万,12000,钟楼区五星,都市桃源一期,1室1厅1厨1卫,中楼层 (共9层),54.17㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯十八户,有,暂无数据,2023-02-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2432,勤业大润发都市桃源1期精装小户型,60万,11077,钟楼区五星,都市桃源一期,1室1厅1厨1卫,高楼层 (共9层),54.17㎡,暂无数据,暂无数据,板楼,北,钢混结构,精装,两梯十八户,有,暂无数据,2023-02-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房优质户型，通透格局，楼层好，视野宽阔,小区环境优美，舒适安静，适宜居住，人文素养好，乐于助人，相处和谐。小区配套设施完善，出小区就是银行、药店，水果店，美食小吃等。,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：1%。 产证满五唯一免收个税。",小区往西一千米就是龙湖天街，往南五百米五星公园，小区出门西面过马路就是大润发，出门就是公交，地铁二号已经开通，交通便利。菜场、平岗小、勤业中-都在三百米,,,,,,,,,,,
2433,蓝天花园东区65.82平总价63.8万房东包增值税随时看房,63.8万,9694,钟楼区五星,蓝天花园东区,2室1厅1厨1卫,中楼层 (共5层),65.82㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,一梯三十三户,有,暂无数据,2023-05-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元 银行 业主自还,未上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行.,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等,诚意出售， 欢迎看房，随时恭候户型棒，成熟小区管理 欢迎咨询房子详情,,,,,,,,,,
2434,精装房空置 随时入住 环境优美,78.5万,13008,钟楼区五星,城置御水华庭二期,2室2厅1厨1卫,低楼层 (共20层),60.35㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯十九户,有,暂无数据,2023-09-14,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,总价低，楼层好全天采光，房东诚心出售 优质户型 采光好,环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,"：
地铁二号线，龙江路高架通达常州全城，长江路贯穿常州南北，多条公交线路，出行便利，四通八达",,精装房  随时入住 该户型方正，家里通风性好。采光好房东诚心出售,,,,,,
2435,70年产权开发商统一精装修 一室一厅朝南采光好BRT旁,82万,11949,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,中楼层 (共60层),68.63㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,六梯二十三户,有,暂无数据,2021-11-15,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,70年产权开发商统一精装修 一室一厅朝南采光好BRT旁,,,,酒店内设健身房、游泳池、中西餐厅，吾悦国际、南大街、万达 商圈。后面是西新桥二村菜市场，生活便利。 项目位置：通江大道与关河西路交叉口 交通：19条公交线路，多条BRT 横贯东西南北。,,,处于关河路和通江路的交接处，19条公交线路环伺，三公里内有常州火车站，龙城高架,,酒店式统一精装修，按照3000元平的装修标准，是常州首批精装房，虽然不够年轻现代，但是经典不过时,,,民水,民电,2.45元/m3,
2436,此房满2年 精装修 业主诚心出售,50万,11524,钟楼区五星,金润家园,1室1厅1厨1卫,中楼层 (共6层),43.39㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-04-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%,设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。位置好。,业主处理多余资产，随时看房，业主随时可以签约，接受贷款，诚心出售,,,,,,,,,,
2437,星盛家园小面积户型 配套齐全  交通方便,89.8万,12495,钟楼区五星,星盛家园,1室1厅1厨1卫,高楼层 (共9层),71.87㎡,暂无数据,62.16㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-30,商品房,2024-01-07,普通住宅,未满两年,共有,无抵押,已上传房本照片,房东诚售 欢迎看房 前后无遮挡 配套齐全 可拎包入住,小区是2000年后的，相对来说房子外观比较新的，星盛家园唯一的是有物业管理，有保安，小区内多设健身器材，出门就是，菜场，BAT站台，出门生活便利，公园设施全,,首套房个税1%，契税90平以下1%，90平以上1.5% 二套房90平以上契税2% 未满两年5.3%增值税 满五年且业主唯一则免个税,五星公园 龙湖天街，宝龙城市广场 勤业大润发 银行：中国银行，工商银行， 医院等,,,,,,,,,,,
2438,凯纳商务广场 1室1厅 北,77.5万,9871,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,高楼层 (共60层),78.52㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2022-08-12,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,民水,民电,2.45元/m3,
2439,新出蓝天花园精装小户型诚心出售,62万,10173,钟楼区五星,蓝天花园西区,1室1厅1厨1卫,中楼层 (共6层),60.95㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装拎包住，楼层好，位置好，视线采光好,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,交通方便 500米上龙江高架 有多条公交线路 路况四通八达 出租车随叫随到 方便快捷,,,,,,,,
2440,都市桃源二期 3室2厅 南 北,145万,13426,钟楼区五星,都市桃源二期,3室2厅1厨1卫,低楼层 (共6层),108㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-04-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2441,70年住宅性质 酒店管理中 稳定不操心开发商统一精装修,59.8万,13289,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,中楼层 (共19层),45㎡,暂无数据,暂无数据,塔楼,南 东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 银行 业主自还,未上传房本照片,70年住宅性质 酒店包租中 稳定不操心开发商统一精装修 无燃气,,通间朝南，厨房在进门位置，卫生间内设施齐全，大飘窗 采光很好,,,,房子目前有正常的房贷，房子是酒店包租中，稳定，不用操心，自己不能使用,,,开发商统一精装修，颜色统一，厨房有，配好家具家电的，拎包即住,,,,,,
2442,地铁口 精装电梯房 钞市在边上,85万,12687,钟楼区五星,都市桃源一期,1室1厅1厨1卫,中楼层 (共9层),67㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯十八户,有,暂无数据,2022-11-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,五星公园 ，地铁2号线，楼层佳，采光好 电梯房,小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。金玉苑社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,,,,,,
2443,金地花苑 1室1厅 南,98万,14290,钟楼区五星,金地花苑,1室1厅1厨1卫,高楼层 (共31层),68.58㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯五户,有,暂无数据,2023-08-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
2444,出行方便，交通方便，靠市区，适宜居住，拎包入住,140万,15054,钟楼区五星,平岗星苑,2室1厅1厨1卫,低楼层 (共24层),93㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,1.小区生活实施齐全，商场，菜市场，行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,此房户型方正，二室一厅面积适中，明厨明卫，采光好，通透性强，日照充足。,,生活设施齐：银行、菜场、商场，饮食近在咫尺，生活起居很方便。,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,,,
2445,70年产权，统一精装的新城悦的物业 环境好,60万,10910,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,高楼层 (共21层),55㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,三梯五十二户,有,暂无数据,2022-05-15,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,70年产权，统一精装的新城悦的物业 环境有保障 租金稳定,小区的商圈是成熟商圈，配套设施齐房满2年，小区旁就有菜市场，在小区楼下就有银行和市，出行便利,,低于该90平方，首套二套都是2%，三套及以上3%，个税1%。全。小区旁就有菜市场，在小区楼下就有银行和市,,,,,此房的面积不大，总价不是很高，开发商精装修，适合单身青年和年轻夫妻：房子的位置很好，也比较适合在市里工作的白领和退休后想要独自 老人,,,,民水,民电,,
2446,晋陵文禧小高层楼栋，位置好采光佳，次新小区品质高,162万,16120,钟楼区五星,晋陵文禧,2室2厅1厨2卫,低楼层 (共17层),100.5㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-11-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元 客户偿还,未上传房本照片,晋陵文禧次新小区，户型佳，小区为小高层和洋房组成的低密度社区,晋陵文禧于2021年下半年正式竣工交房，小区由18栋小高层及2栋洋房组成，总户数1200户的低密度社区。绿化面积达35%，小区规划设计力求从“雅致、健康、活力”为主题塑造高品位的环境与生态居住环境，同时将中式的意韵与现代的构图美学结合,,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区北侧新城飞龙吾悦目前正在建设中，预计于2024年落成并投入使用。小区旁有麦德龙，新北万达，钟楼吾悦国际开车15min内皆可到达,,,,,,,,,,,
2447,星都景苑，2019年交付，精装修，未入住,275万,17516,钟楼区五星,星都景苑,4室2厅1厨2卫,高楼层 (共16层),157㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,星都景苑，2019年交付，精装修，未入住,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
2448,户型方正，格局分布合理，楼层好，通透性强。,70万,9939,钟楼区五星,勤业一二三村,3室1厅1厨1卫,中楼层 (共5层),70.43㎡,暂无数据,暂无数据,板楼,东,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-25,商品房,2023-12-08,普通住宅,未满两年,非共有,无抵押,已上传房本照片,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业好，有公园，医院，商场,比房业主诚心出售，产权清晰，证件齐全，看房方便，价格可以协商,,,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序,,,,,042431529504,户型方正，格局分布合理，楼层好，通透性强。,,,,
2449,此房为香悦半岛车库，诚心出售。,5.2万,4334,钟楼区五星,新城香悦半岛北区,,地下室 (共0层),12㎡,,,,南,,,,,,2020-09-24,商品房,暂无数据,车库,暂无数据,非共有,无抵押,未上传房本照片,房东诚心出售.看房方便.车位总价格低，,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 *市 美食等 人文素养好，,,,配套南北通风，视野开阔，配套设施齐全，交通便利。小区环境优美,,,交通方便，y1.b23.52路，自驾出行国道高架.，公交站牌就在小区门口。,,,,,,,,
2450,好楼层地铁口天街商圈楼层好采光好,58万,16112,钟楼区五星,城置御水华庭二期,1室1厅1厨1卫,中楼层 (共20层),36㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯十九户,有,暂无数据,2023-04-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装一房 好楼层地铁口天街商圈,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,,,,,,,
2451,此房户型好 得房率高 房东诚心出售,43.8万,11527,钟楼区五星,蓝天花园东区,1室1厅1厨1卫,中楼层 (共5层),38㎡,暂无数据,暂无数据,板塔结合,东北,钢混结构,简装,一梯三十三户,有,暂无数据,2021-02-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型好 得房率高 房东诚心出售,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位：助人，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好,,税费解析： 税费分析：契税：首套房，90平以下成交价1%，个税：成交价的1%，没有增值税,,,,,本房适合刚需人群，首付不高，也适合老人居住，得房率高，采光好,,,,,,,
2452,机械新村东区两房，精装，楼层好，采光好,78万,12303,钟楼区五星,机械新村东区,2室1厅1厨1卫,中楼层 (共6层),63.4㎡,暂无数据,暂无数据,塔楼,南 北,砖混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,机械新村东区两房，精装，楼层好，采光好,1.环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利市场，生活用品及买菜十分便利，生活轻松。,,房屋产权：房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,,业主卖房改善换房，随时看房，业主随时可以签约，接受贷款，诚心出售。,,,,,,,,,,
2453,凯纳商务广场1-1-1-1 39.26m²,40万,10186,钟楼区五星,凯纳商务广场,1室1厅1厨1卫,中楼层 (共60层),39.26㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2020-05-20,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,此房朝南小面积，户型好，70年产权，总价低,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2%个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,旁边就有共享单车，楼下就是BRT，有19条公交线路，位于钟楼新北天宁的交界处,年轻人，可以作为首套过渡房；中老年人可以作为，养老房；外地户口可以入驻常州；家中有适龄儿童的可以上西新桥的幼儿园等学 校,,,,民水,民电,2.45元/m3,
2454,新城旗下公寓 精装拎包入住 出门BRT,57.8万,14098,钟楼区五星,新城首府国际公寓,1室1厅1厨1卫,低楼层 (共21层),41㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,三梯五十二户,有,暂无数据,2019-06-05,商品房,暂无数据,商住两用,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，精装修，交通便利，吾悦国际仅需步行,新城国际公寓为新城房地产开发公司建造，一栋70年产权的酒店式公寓，由新城物业提供高品质的物业服务，让业主住的放心，住的舒心,,,配套成熟，距离吾悦国际仅两站brt的距离，火车站直线距离不到2公里，多家银行，酒店，医院，*市,,,,,房屋为新城开发商统一精装交付，设计合理，储藏空间足，无浪费，厨具，卫浴都是品牌，装修设计偏成稳,,,民水,民电,,
2455,精装修  保养新 地理位置便利  欢迎来看房,40万,10189,钟楼区五星,凯纳商务广场,1室0厅1厨1卫,高楼层 (共60层),39.26㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,六梯二十三户,有,暂无数据,2023-01-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修  保养新 地理位置便利  欢迎来看房,房龄新 环境好 楼层视野赞 采光刺眼  地理位置便利.............,,"90平米以下成交价的1%，90平米以上成交价的1.5%，二套房90平米以下成交价的1%，90平米以上成交价的2%，3套房成交价的3%, 2.产证满5唯一免",,房屋诚心出售 价格可谈 随时可以看房 业主随时可以签约.............,,,,,,,,,,
2456,房东诚心出售  靠龙湖天街 交通方便，小区物业不错,62.5万,15072,钟楼区五星,城置御水华庭二期,1室1厅1厨1卫,中楼层 (共20层),41.47㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,精装,两梯十九户,有,暂无数据,2022-10-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售  靠龙湖天街 交通方便，小区物业不错,城置御水华庭位于钟楼区勤业he心板块，北临千年古运河，南依劳动西路，东靠勤业北路，交通便利，通过劳动西路与市zhong心直线相连；整个小区由18栋小高层和高层住宅和4万平米shang业组成。,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下成交价的1%，90平以上成交价的2%，三套及以上成交价的3%。个税：产证满五唯一，免收个税，不唯一成交价的1%,,,,"龙湖天街，吃喝玩乐购一站式配套； 在建综合菜市场..交通状况：地铁2号线，B23、39路、9路、258路,勤业北路,劳动西路,飘香街,三堡街",,,,,,,,
2457,城置御水华庭二期 1室1厅 南,62.8万,13653,钟楼区五星,城置御水华庭二期,1室1厅1厨1卫,中楼层 (共20层),46㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯十九户,有,暂无数据,2023-04-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,,,,,,
2458,御水华庭 车位 位置好 停车方便,11万,4400,钟楼区五星,城置御水华庭,,地下室 (共33层),25㎡,,,,南,,,,,,2021-05-16,商品房,暂无数据,车库,暂无数据,共有,无抵押,未上传房本照片,地下一层停车位，9号楼位置，停车方便，小区环境优美,1、小区边生活设施齐全、菜市场、银行、交通便捷； 2、小区内设有健身器材，小型篮球场和游泳池和社区活动所，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，公交258，39路，Y1和B23，龙湖天街和大润发,,,,,,,,,,,
2459,龙湖天街 地铁口 在建综合菜市场 交通便利,53万,15027,钟楼区五星,城置御水华庭二期,1室1厅1厨1卫,中楼层 (共20层),35.27㎡,暂无数据,暂无数据,板塔结合,北,钢混结构,精装,两梯十九户,有,暂无数据,2022-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 28万元,未上传房本照片,龙湖天街 地铁口 在建综合菜市场 交通便利,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,契税：首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下成交价的1%，90平以上成交价的2%，三套及以上成交价的3%。个税：产证满五唯一，免收个税，不唯一成交价的1%,五星公园、青枫公园、800米运河公园风光带，工商银行、中国银行、农业银行、江南银行等众多，地铁二号线，龙湖天街和欧尚,,,位于钟楼区与城市区交汇处。北面劳动西路，南靠勤业路，交通便利。地铁口距离900米,,,,,,,,
2460,华府家园电梯房，中间楼层，采光好，楼层好，交通方便,61.8万,12238,钟楼区五星,华府家园,1室1厅1厨1卫,中楼层 (共7层),50.5㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元,未上传房本照片,五星公园旁 近地铁2号线 客厅朝南 采光充足 配套完善 交通便利,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 。2税： 满两年不论面积 全免 不满二年 收全额的5.6%,配套设施齐全，美食一条街和五星公园，大卖场生活方便，环境好。,,,出行方便，小区门口便是五星公园，大卖场金地假日广场公交车站台。,,,,,,,,
