,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,装修描述,权属抵押,户型介绍,售房详情,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
210,路劲城市花园 3室1厅 南,119万,13951,钟楼区西林,路劲城市花园,3室1厅1厨2卫,中楼层 (共34层),85.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2024-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
211,路劲城市花园 4室1厅 南 北 西,170万,13767,钟楼区西林,路劲城市花园,4室1厅1厨2卫,低楼层 (共32层),123.49㎡,平层,暂无数据,板塔结合,南 北 西,钢混结构,其他,两梯四户,有,暂无数据,2024-03-11,商品房,暂无数据,普通住宅,暂无数据,非共有,暂无数据,未上传房本照片,,,,,,,,,,,,,,,
212,：朝南户型方正 实用面积大 好楼层 业主诚售,158万,11771,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共18层),134.23㎡,平层,110.6㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2024-02-21,商品房,2011-03-29,普通住宅,满五年,共有,有抵押,已上传房本照片,"：
朝南户型方正 实用面积大 好楼层 业主诚售",契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,,,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,,,,,,,,
213,泰盈八千里 毛坯三房两卫 看房方便,150万,13610,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共18层),110.22㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2023-09-16,商品房,2020-04-20,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,客厅宽敞舒适，使用率高 ，朝南户型,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明 满足一切生活所需,,,,,,,
214,精装出售的，采光好，房东诚心出售,175万,14113,钟楼区西林,路劲城市花园,3室2厅1厨2卫,中楼层 (共32层),124㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 客户偿还,未上传房本照片,精装出售的，采光好，房东诚心出售,税费解析： 1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,商场：万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,,,,,,,,,,,
215,景荟凤凰公寓1-1-1-1 57.00m² 75 万,70万,12281,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,低楼层 (共14层),57㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,六梯三十户,有,暂无数据,2023-03-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全天采光 ，装修好，品牌家具家电，配套设施齐全，交通便利,,商-业：北向1Km是泰盈八千里小型商 业综合体，北向2.2Km就是宝龙广场商-业综合体医疗：北向1.4Km是妇幼保健医院公园：西向500M是西林公园，北向2.2Km是青枫公园,,,清爽装修，都是自己购买的材料，品牌家具家电。装修整体有点小资情调，干净清爽,,户型方正，格局分布合理，空间感好，楼层佳，朝南，视野开阔，采光透亮。,,,,,,,
216,毛坯房 房东诚心出售 看中价格可谈 有钥匙,135万,12933,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共34层),104.39㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-11-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,
217,路劲城市花园 3室2厅 南,160万,14986,钟楼区西林,路劲城市花园,3室2厅1厨2卫,高楼层 (共34层),106.77㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-16,商品房,2018-07-02,普通住宅,暂无数据,非共有,有抵押 40万元 江南银行 业主自还,已上传房本照片,,,,,,,,,,,042452697965,,,,
218,泰盈八千里 急售精装顶复 房东诚心出,165万,14801,钟楼区西林,泰盈八千里,5室2厅1厨3卫,高楼层 (共27层),111.48㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,暂无数据,2023-05-25,商品房,2015-08-20,普通住宅,暂无数据,共有,有抵押 100万元 招商银行 客户偿还,已上传房本照片,泰盈八千里 精装顶复急售 5室2厅2卫 拎包即住,"1.契税：首套房90平以下1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。
2.增值税：满两年免缴；不限售且不满二年的5.3%.
3.个人所得税：满两年1%；满五唯一免缴。",西林幼儿园，万泰广场，上海家具大卖场，妇幼第/一医院分院，西林医院，西林公园,,小区地理位置佳，交通便利，绿化覆盖面积多，居民素质高；有健身器材场地，停车位充足，建有地上地下停车场,,,,,,,,,,
219,中天美墅 3室2厅 北,125万,10102,钟楼区西林,中天美墅,3室2厅1厨3卫,低楼层 (共3层),123.75㎡,暂无数据,暂无数据,暂无数据,北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-15,商品房,2019-10-24,商业,暂无数据,非共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,
220,"泰盈八千里,小高层顶复带露台，毛坯空置，房东急售",168万,9418,钟楼区西林,泰盈八千里,3室2厅1厨3卫,高楼层 (共15层),178.39㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-08-04,商品房,2018-11-07,普通住宅,暂无数据,共有,有抵押,已上传房本照片,"泰盈八千里,小高层顶复带露台，毛坯空置，房东急售","税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,,,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,,,,,,,
221,八千里复式  实际面积更大     楼栋好 采光好,160万,14286,钟楼区西林,泰盈八千里,5室2厅1厨2卫,高楼层 (共27层),112㎡,暂无数据,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,暂无数据,2023-05-24,商品房,2013-12-31,普通住宅,暂无数据,共有,有抵押 65万元,已上传房本照片,小区环境好，绿化高，楼层采光好，楼栋位置好,,妇幼保健院，西林公园，西林小和西林中！小区西门门口有停车产，停车也比较方便,小区北门马路，就是BRT公交车站，公交出行方便，小区东侧龙江路高架，出行方便 房主自荐(业主对房源的描述),,,,房子是精装婚房的房子，电梯中间层，南北朝向，主卧室朝南，客厅朝北，户型方正,,,,,,,
222,路劲城市花园，毛坯4房2卫，户型好，房东诚售,196万,16497,钟楼区西林,路劲城市花园,4室2厅1厨2卫,中楼层 (共18层),118.81㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,,,,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,朝南户型，边户全天采光无遮挡，户型周正，格局分布合理，空间感好,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商,,,,,,
223,位置好，纯毛坯， 户型方正.采光无遮挡，使用率高。,160万,12904,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共20层),124㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,位置好，纯毛坯， 户型方正.采光无遮挡，使用率高。,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴。,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
224,路劲城市花园，毛坯三房，户型好，采光好，房东诚售,135万,12617,钟楼区西林,路劲城市花园,3室2厅1厨2卫,高楼层 (共34层),107㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,,,,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,朝南户型，边户全天采光无遮挡，户型周正，格局分布合理，空间感好,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,
225,泰盈八千里  四房毛坯  采光好,160万,11229,钟楼区西林,泰盈八千里,4室2厅1厨2卫,高楼层 (共18层),142.5㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,五梯四户,有,暂无数据,2023-04-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,清枫公园 客厅宽敞舒适，使用率高 ，朝南户型,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%。",小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,
226,景荟凤凰公寓 1室1厅 南,50万,8552,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,高楼层 (共14层),58.47㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,两梯三十户,有,暂无数据,2023-11-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
227,采光充足，环境优美，闹中取静，靠市区，适宜居住,135万,14612,钟楼区西林,路劲城市花园,3室1厅1厨1卫,中楼层 (共34层),92.39㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-25,商品房,2018-07-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,,,,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,三开间朝南，双阳台，全天采光无遮挡，户型周正，格局分布合理，空间感好,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,
228,钟楼热盘 泰盈八千里 刚需两房低总价 明厨明卫户型好,115万,12747,钟楼区西林,泰盈八千里,2室2厅1厨1卫,低楼层 (共21层),90.22㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-07-24,商品房,2019-05-02,普通住宅,暂无数据,共有,有抵押 客户偿还,已上传房本照片,青枫公园 位置好，得房率高， 保养新 户型方正.采光无遮挡,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
229,精致一居  格局合理 配套齐全 拎包入住 诚售,56.8万,8266,钟楼区西林,景荟凤凰公寓,2室1厅1厨1卫,中楼层 (共14层),68.72㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,两梯三十户,有,暂无数据,2023-05-19,商品房,2020-04-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精致一居 格局合理 配套齐全 拎包入住 诚售,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区生活设施齐，商场、菜市场、银行等，交通便捷；小区内停车位充足，建有地上停车场和地下车库，小区内24小时保安巡逻。,,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,,,,,,
230,精装修三房两卫，双阳台，视野采光爆炸，配套齐全,165万,14410,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共29层),114.51㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修三房两卫，双阳台，视野采光爆炸，配套齐全,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.3%。 3.个人所得税： 满两年1%；满五唯一免缴。,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的双阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
231,泰盈28楼边户，毛坯三房两卫户型，自己要装修,139万,12138,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共32层),114.52㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,暂无数据,2023-02-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 90万元 客户偿还,未上传房本照片,此房满二，三房，楼层高上，看中可谈，毛坯未入住,,"小区东北角和北边都有医院，西边有西林公园，周*都有商*,能够满足生活所需",小区北边是常州BRT快速公交，东边就是龙江路高架，南边有公交站台,小区地理位置好，交通便捷，方便出行，小区绿化环境好，安保设施做的好,,,,,,,,,,
232,房东人很好 诚心出售 价格可议 配套齐全 交通便利,85万,7407,钟楼区西林,中天凤凰汽配用品城,4室2厅1厨2卫,低楼层 (共3层),114.76㎡,暂无数据,暂无数据,板楼,南,混合结构,精装,暂无数据,无,暂无数据,2020-05-10,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,房东人很好 诚心出售 价格可议 配套齐全 交通便利,,出小区门200米有邮电局 有华林菜市场 江南银行 BRT 迪卡侬,近怀德南路，中吴大道两条城市主干道，东边有高架。公交车都通，BRT也有，交通很方便,,,,低楼层 适合老人小孩居住 一二层为高挑高 可做6层 房东诚心出售 看中提前预约,,,,,商水,商电,4.24元/m3
233,中上楼层 精装小三房 温馨适住 精致生活家 业主诚售,115.8万,13491,钟楼区西林,路劲城市花园,3室2厅1厨1卫,高楼层 (共25层),85.84㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,设计师一体化的硬软装设计，高大上装修风格，合理改变空间布居。,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,商场：万泰广场、人民医院钟楼分院、妇幼保健院：邮局：中国邮政 银行：江南农村银行 其他：西林公园、皇粮浜湿地公园,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,,,,,,,,,,,
234,路劲城市花园，精装修4房2卫，户型好，得房率高,167万,13501,钟楼区西林,路劲城市花园,3室2厅1厨2卫,低楼层 (共18层),123.7㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 130万元,未上传房本照片,位置好，得房率高， 保养的好， 采光无遮挡,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有..,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
235,中上楼层，户型方正，三面采光，得房率高,173万,15966,钟楼区西林,路劲城市花园,3室2厅1厨2卫,中楼层 (共18层),108.36㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中上楼层，户型方正，三面采光，得房率高,,有两个教育用地，还有幼儿园，配套齐全，配套成熟，小区安保物业负责，有公园，医院，,,，小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
236,路劲城市花园，毛坯4房2卫，户型好，房东诚售,170万,11889,钟楼区西林,路劲城市花园,4室2厅1厨2卫,低楼层 (共18层),143㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"：
次新小区 近西林公园 位置好 得房率高 户型方正",,配套完善 交通便利 小区物业好24小时安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,交通出行： 交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,区介绍： ： 路劲城市主场作为路劲地产钟楼板块的先锋部队，无论房屋质量、小区绿化、物业管理都是按照总公司的标准执行，高标准、高品质、早买早省心。,,,,,,,,,,
237,华林家园二期 3室2厅 南,120万,9580,钟楼区西林,华林家园二期,3室2厅1厨2卫,中楼层 (共11层),125.27㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,,,,,
238,地理位置佳 精装修维护很好，拎包入住,185万,13310,钟楼区西林,泰盈八千里,4室2厅1厨2卫,低楼层 (共21层),139㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地理位置佳 精装修维护很好，拎包入住,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化，居民素质高；有健身器材，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,采光无影响，配套齐全，三室二厅两卫。客厅带阳台，视野开阔，...........,,,,,,,
239,买房包产权车位泰盈八千里毛坯房115平3房2厅2卫好楼层,136万,11827,钟楼区西林,泰盈八千里,3室2厅1厨2卫,高楼层 (共29层),115㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-11-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,毛坯三房 纯毛坯未入住。楼层好,1.契税：首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：西林公园,泰盈集团于1994年在香港注册成立，现总部设于广州。泰盈集团旗下专注于物业管理与服务的独立子公司——香港瑞泰联行国际物业服务有限公司（简称瑞泰联行）于1995年成立，目前拥有一支勤业、敬业、专业、用心的员工队伍。,,,在户型设计上：采用是方正实用，南北对流、多阳台及空中花园，通风采光好，实用率高。特色的阳台以及漂窗的用心的设置大大提高了空间功能性和使用率，同时也提升了空间布局的趣味性和标志性。使您的利益得到了Z大化的保障。,,,,,,,
240,位置好，得房率高， 保养新 户型方正.采光无遮挡。,140万,11780,钟楼区西林,泰盈八千里,3室2厅1厨2卫,中楼层 (共26层),118.85㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-03-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 业主自还,未上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ..,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,东临龙江路高架，东边就是公交站台，北边就是常州BRT，西边是公交枢纽,,,,,配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,,,,,
241,地理位置佳 精装修维护很好，拎包入住,185万,13310,钟楼区西林,泰盈八千里,4室2厅1厨2卫,低楼层 (共21层),139㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地理位置佳 精装修维护很好，拎包入住,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下，向西南步行500米。,小区地理位置佳，绿化，居民素质高；有健身器材，可供小区居民使用；停车位充足，建有地上停车场和地下车库,,,采光无影响，配套齐全，三室二厅两卫。客厅带阳台，视野开阔，...........,,,,,,,
242,八千里  毛坯交付 楼栋新  楼层好,135万,12876,钟楼区西林,泰盈八千里,3室2厅1厨1卫,高楼层 (共29层),104.85㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,毛坯未入住的新房，双卧室朝南，客厅北向,,妇幼保健院，西林公园，西林小和西林中！小区西门门口有停车产，停车也比较方便,小区北门马路，就是BRT公交车站，公交出行方便，小区东侧龙江路高架，出行方便 房主自荐(业主对房源的描述),,,,房子是八千里19年交付的房子，电梯中间层，南北朝向，主卧室朝南，客厅朝北，户型方正,,,,,,,
243,路劲城市花园 3室2厅 南,110万,12896,钟楼区西林,路劲城市花园,3室2厅1厨1卫,中楼层 (共34层),85.3㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,,,,,,,,,,,,,,,
244,八千里  边户  精装修  楼层好  有钥匙急售,71万,14121,钟楼区西林,泰盈八千里,1室1厅1厨1卫,低楼层 (共32层),50.28㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,暂无数据,2023-05-25,商品房,2020-01-01,普通住宅,未满两年,非共有,无抵押,未上传房本照片,交通便利，出行方便，配套齐全，业主诚售。,"：
1.契税:首套房90平以下 1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。2.增值税： 满两年不论面积全免，不满二年收全额的5.3%。3.个人所得税：满两年1%，满五唯一免个人所得税。",,,小区环境优雅，绿化好天然氧吧，水气充足空气好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,,,,房东诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，产权清晰，无任何经济纠纷，请放心考虑,,,,,,
245,景荟凤凰公寓 1室1厅 南,48万,8248,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,低楼层 (共14层),58.2㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,六梯三十户,有,暂无数据,2022-11-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
246,景荟凤凰公寓 1室1厅 南,48万,8217,钟楼区西林,景荟凤凰公寓,1室1厅1厨1卫,低楼层 (共14层),58.42㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,六梯三十户,有,暂无数据,2022-11-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,
247,钟楼精装两房 总价低 中yang空调 拎包入住 看房方便,86万,12911,钟楼区西林,泰盈八千里,2室1厅1厨1卫,中楼层 (共32层),66.61㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,三梯五户,有,暂无数据,2023-06-07,商品房,2020-01-01,普通住宅,未满两年,非共有,有抵押 40万 客户偿还,未上传房本照片,泰盈八千里 精装两居室 自住保养好 房东诚心出售,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",配套完善 交通便利 小区物业好24安保服务，配套齐全，配套成熟，小区安保物业负责，有公园，医院，商场,,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 ，美食等 人文素养好,,,,,,,,,,
