,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,税费解析,周边配套,交通出行,房源核验码,查询房管备案记录,售房详情,权属抵押,装修描述,适宜人群,别墅类型,用水类型,用电类型,燃气价格
1412,路劲雅居乐国仕九礼 小区环境优雅 洋房设计,400万,29240,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,中楼层 (共6层),136.8㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 190万元,未上传房本照片,边户，好楼层，小区正中间，视野开阔，优质配套,路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年8月的新房，毛坯交付。 产品类型：总高8层的花园洋房，凤凰层边户，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1413,路劲雅居乐国仕九礼 3室2厅 南,238万,22038,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,高楼层 (共19层),108㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 140万元,未上传房本照片,,,,,,,,,,,,,,,,
1414,三开间朝南精装修，拎包入住，随时看房,180万,14230,钟楼区永红,嘉宏云顶,3室2厅1厨2卫,高楼层 (共30层),126.5㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-06-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 60万元,未上传房本照片,三开间朝南精装修，拎包入住，随时看房,小区配套齐全，交通配套成熟，出行便利BRT，小区安保物业负责，有公园，医院，商场， 等等,,"：
首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,,此房业主诚心出售，怀德路段，配套齐全，产权清晰，证件齐全，看房方便，,,,,,,,
1415,格兰艺堡 四室两厅 精装修 户型通透 诚心出售,170万,11959,钟楼区永红,西城格兰艺堡,4室2厅1厨2卫,高楼层 (共33层),142.16㎡,暂无数据,暂无数据,板塔结合,东,框架结构,精装,两梯四户,有,暂无数据,2022-12-30,商品房,2023-11-17,普通住宅,未满两年,共有,有抵押 65万元 业主自还,已上传房本照片,荆川公园上书房旁 格兰艺堡环境优美 中层 采光好,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场 等。,,1、契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3%；2、增值税： 满两年不论面积免 ；不满二年收全额的5.3% ；3、个人所得税：满五唯一免个人所得税，其他情况1%。,小区门口多家美食店，荆川公园，银行设施齐全。吃住行都比较方便。,,,,,,,,,,,
1416,此房优质户型，通透格局，楼层好，视野宽..,158万,16990,钟楼区永红,桂花园,3室1厅1厨1卫,低楼层 (共18层),93㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2022-09-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,此房优质户型，通透格局，楼层好，视野宽，配套设施齐全。,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 美食等 人文素养好，乐于助人，相处和谐,此房格局好，楼层好，客厅宽敞大方，明亮通透，采光效果好，使用率高。明厨明卫。。。。。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1417,路劲城市印象 3室2厅 南,170万,15514,钟楼区永红,路劲城市印象,3室2厅1厨2卫,中楼层 (共29层),109.58㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1418,从来就城市中央美居167平开发商精装修，4房，一梯一户,379万,22695,钟楼区永红,城市中央美居,4室2厅2厨3卫,低楼层 (共17层),167㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房开发商精装修户型好，小高层得房率高，还是一梯一户的,小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1419,"蓝色星空,楼层好，房东新装修没多久，保养很好。",155万,15277,钟楼区永红,蓝色星空,3室2厅1厨1卫,低楼层 (共6层),101.46㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"蓝色星空,楼层好，房东新装修没多久，保养很好。",小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1420,国仕九礼洋房顶复，空间大，户型好，带露台,600万,26087,钟楼区永红,路劲雅居乐国仕九礼,4室2厅1厨2卫,高楼层 (共6层),230㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-07-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,国仕九礼洋房顶复，空间大，户型好，带露台,路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年8月的新房，毛坯交付。 产品类型：总高6层的花园洋房，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1421,楼层好，位置好，视线采光好，洋房视野好,500万,31646,钟楼区永红,路劲雅居乐国仕九礼,4室2厅1厨3卫,高楼层 (共8层),158㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,楼层好，位置好，视线采光好，洋房视野好,小区比较新，管理比较好，物业费不贵，小区安静，绿化高，环境很好,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋产证不满2年，缴纳5.3%增值税,,交通方便 500米上龙江高架 有多条公交线路 路况四通八达 出租车随叫随到 方便快捷,,,,,,,,,,
1422,国仕九礼洋房顶复，空间大，户型好，带露台,600万,26201,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,高楼层 (共6层),229㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-09-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,国仕九礼洋房顶复，空间大，户型好，带露台,路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年8月的新房，毛坯交付。 产品类型：总高6层的花园洋房，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1423,教科院教育 国仕九礼 次新房 电梯洋房 诚心出售！,450万,28663,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨3卫,低楼层 (共6层),157㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,教科院教育 国仕九礼 次新房 电梯洋房 诚心出售！,,,"目前契税政策: 
首套:90平米以下1%，90平米以上1.5% 
二套: 90平米以下1%，90平米以上2% 
三套及以上:3% 
增值税: 满2年免征/不满2年:5.3% 
个人所得税: 满5年并且是唯一住房可以免征，其他情况均为全额的1%",教科院教育，皇粮浜湿地公园，中吴宾馆，弘阳广场，中吴广场，清潭西路餐饮街,规划地铁五号线，中吴大道贯穿常州东西，长江路贯穿常州南北，龙江路高架通达常州全城,,,,,,,,,,
1424,精装修未住，大金空调+全屋地暖+新风。视野开阔。,385万,23193,钟楼区永红,路劲雅居乐国仕九礼,4室2厅1厨2卫,低楼层 (共16层),166㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-03-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修未住，大金空调+全精装修未住，户型通透，好位置，满二,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年5月的新房，精装。 产品类型：花园洋房，好位置，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3% 2：增值税：满两年免征。不满两年5.3% 3：个人所得税：除满五唯一免征外，其他均按全额的1%征收,,,,,此房业主诚心出售产权清晰证件齐全看房方便价格还可以协商，提前预约看房,,,,,,,
1425,国仕九礼精装交付，空间大，户型好,560万,33693,钟楼区永红,路劲雅居乐国仕九礼,4室2厅1厨3卫,高楼层 (共16层),166.21㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 200万元,未上传房本照片,国仕九礼精装交付，空间大，户型好,路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2021年8月的新房，毛坯交付。 产品类型：总高6层的花园洋房，少量高层，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1426,弘阳广场旁，户型方正，全天采光，交通便利,138万,10869,天宁区永红,世纪华城,3室2厅1厨1卫,低楼层 (共30层),126.97㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,弘阳广场旁，户型方正，全天采光，交通便利,小区是是2008年建成 ， 开发商是常州华强房地产开发有限公司 ，物业费0.65每平米，小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场,户型周正，格局分布合理，空间感好，通透性强，居住舒适，温馨家园,,小区距离弘阳广场350米 距离兰陵欧尚3公里，距离荆川公园2.1公里，距离九州新世界4公里，常州第三人民医院2.8公里,,,,,,,,,,,
1427,城市中央美居143平开发商精装修，户型方正4房,300万,20980,钟楼区永红,城市中央美居,4室2厅1厨2卫,低楼层 (共17层),143㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修交付，全新未入住，采光无遮挡，随时看房,小区精装修成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住,精装修三开朝南，客厅宽敞大方，四房两卫，采光效果好，使用率高，卧室温馨舒适,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1428,嘉宏云顶3房2厅2卫 满五唯一 精装 拎包入住,179万,13440,钟楼区永红,嘉宏云顶,3室2厅1厨2卫,中楼层 (共30层),133.19㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满屋唯一，房东诚心出售，成熟社区，交通生活便利,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",小区配套齐全，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,公交：22路、310路、328路、517路、902路到怀德路西林路站下，向南步行400米。229路到龙江路梅庄路站下，向南步行50米。BRT2号线到怀德路龙江路站下,,,,,,,,,,
1429,此房户型格局好，房型三开间朝南 ，户型通透全天采光,208万,14752,钟楼区永红,上书房四期,3室2厅1厨2卫,低楼层 (共33层),141㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2023-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型格局好，房型三开间朝南 ，户型通透全天采光,,,"税费解析：
契税：90平米以下成交价1%，90平米以上成交价的1.5%，二套房90平米以上成交价的2%，三套房成交价的3%，2、增值税：房产证满二年免征增值税，未满2年征收5.3%的税，3、个税：房产证满五唯一，免收个税，满五不唯一收1%的税。",荆川公园 清潭菜场 华联卖场 新怡卖场，中国银行 建设银行 海王星辰药店 永红医院 激光医院 三鲜美食城等,,,,置换房子，卖了去外地卖房子，孩子在外地发展了。所以需要卖了在买的,此房房东诚心出售，产证齐全，产权清晰，房子里有贷款抵押，可以随时过户。,,,,,,
1430,城市中央美居187.79平精装，楼栋位置真的好，视野开阔,428万,22792,钟楼区永红,城市中央美居,5室2厅1厨3卫,低楼层 (共23层),187.79㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是开发商精装修，户型方正，一梯一户得房率也挺高的,小区交付于2019年年底，由路劲地产开发，开发商成立于2003年，位列外资房地产开发企业第1名、全国房企30强，自持物业。小区总计13幢高层，典型的新一代住宅。全精装交付，包含科技空调 ，新风系统 ，地暖。品质楼盘，适合改善居住。,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1431,河阳花苑 电梯房 怀小、荆川公园清潭菜场出行方便,210万,14000,钟楼区永红,河阳花苑,3室2厅1厨2卫,高楼层 (共16层),150㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,采光好，房东诚心出售的。出门交通便利，客厅宽大尺度宽敞。,,1、客厅大.使用率高。2、卧室温馨舒适.搭配心怡。3、厨房设施齐全.,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 非满五唯一1% 满五唯一免个人所得税。,,,,,,,,本房电梯房，交通方便，有滨河景观带和爱心公园，还有清潭菜场，适合家里有老人和小孩的,,,,
1432,路劲雅居乐国仕九礼 诚心出售 价格可谈,460万,29300,钟楼区永红,路劲雅居乐国仕九礼,4室2厅1厨3卫,中楼层 (共8层),157㎡,暂无数据,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,教科院 国仕九礼 精装未入住 大横厅 三朝南 好楼层,,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,业主现在诚心出售，证件齐全，欢迎看房，随时恭候，看房方便，专业讲解,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
1433,大面积，格局方正，三房间带一个书房,170万,11930,钟楼区永红,清潭五村续建小区,4室2厅1厨2卫,低楼层 (共7层),142.5㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,大面积，格局方正，三房间带一个书房，客厅明亮宽敞，采光好。,小区内有健身设施，方便居民锻炼身体，居民互相帮助，相处和谐，交通便捷，小区门口就有公交站台。出门就有菜场，公园，银行，美食。,,1.契税：首套房面积小于90平，1%*成交价；面积大于90平，1.5%*成交价。二套房面积小于90平，1%*成交价，面积大于90平，2%*成交价。三套房无论面积多少，交3%*成交价。2.个税：满五唯一，免交个税，不满五年，交1%*成交价 3.增值税：不满两年交5.6%的税。,,,,,,,,低楼层，环境好，安静舒适，适宜老年人养老，也可以给小孩念书用，全家居住,,,,
1434,清潭新村顶楼，上下两套，房东诚心出售,65万,10157,钟楼区永红,清潭新村,4室2厅2厨2卫,高楼层 (共6层),64㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,上下两套，房东诚心出售             ，,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。                 ，,,,,,,,,,,,
1435,户型方正配套成熟，小区环境优美，比邻陈渡桥美食,125万,15625,钟楼区永红,西城格兰艺堡二期爱情湾,3室2厅1厨1卫,高楼层 (共18层),80㎡,暂无数据,暂无数据,板塔结合,南,框架结构,精装,一梯三户,有,暂无数据,2022-09-12,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,户型方正配套成熟，小区环境优美，比邻陈渡桥美食,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场等配套,此房户型方正，主次卧都朝南，明厨明卫， 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税。,,,,,,,,,,,,
1436,教科院旁洋房 全天采光 景观楼 一梯一户,400万,25499,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨3卫,高楼层 (共6层),156.87㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-02-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 35万元 商业银行 业主自还,未上传房本照片,前无遮挡 全天采光 景观楼 视野开阔 一梯一户,小区纯人车分流，环境优美。小高层和花园洋房，人员素质高。2021年5月份刚刚交付。出门就是教科院，让孩子每天多睡2小时。,,"契税首套房1.5%,二套房2%，三套房3%。个税1%。满2年，无增值税。",出门教科院，皇粮浜公园，苏州外国语附属，银行，商场，餐饮一应俱全。,,,,,,,,,,,
1437,花园洋房装修一百多万未住 教科院相邻 人车分流环境美,480万,35037,钟楼区永红,路劲雅居乐国仕九礼,3室2厅1厨2卫,中楼层 (共6层),137㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 110万元 组合贷款 客户偿还,未上传房本照片,"装修了一百多万花园洋房 ,中.央空调地暖新风净水，没住过",小区纯人车分流，环境优美。小高层和花园洋房，人员素质高。2021年5月份刚刚交付。出门就是教科院，让孩子每天多睡2小时,,"契税首套房1.5%,二套房2%，三套房3%。个税1%。满2年，无增值税",出门教科院，皇粮浜公园，苏州外国语附属，中吴宾馆，银行，商场，餐饮一应俱全。,,,,,,,,,,,
1438,路劲城市印象，双阳台三房二卫，边户户型，随时看房,166万,14686,钟楼区永红,路劲城市印象,3室2厅1厨1卫,低楼层 (共34层),113.04㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-02-13,商品房,2020-05-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,路劲城市印象，双阳台三房二卫，边户户型，随时看房,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1439,青建鼎都 满五唯一 精装修 房东自住 看房方便,180万,13951,钟楼区永红,青建鼎都,3室2厅1厨2卫,中楼层 (共12层),129.03㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一 精装修 房东自住 随时看房 视野开阔 生活配套齐全,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。 小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,,,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。 业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。 此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,
1440,路劲城市印象，双阳台三房二卫，边户户型，随时看房,166万,14686,钟楼区永红,路劲城市印象,3室2厅1厨1卫,低楼层 (共34层),113.04㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2023-02-13,商品房,2020-05-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,路劲城市印象，双阳台三房二卫，边户户型，随时看房,小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行  美食等 人文素养好，乐于助人，相处和谐,客厅宽敞大方，明亮通透，采光效果好，使用率高。卧室温馨舒适. 厨房设施齐全，家用电器设施齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
1441,青建鼎都 满五唯一 精装修 房东自住 看房方便,180万,13951,钟楼区永红,青建鼎都,3室2厅1厨2卫,中楼层 (共12层),129.03㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一 精装修 房东自住 随时看房 视野开阔 生活配套齐全,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。 小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。,,,,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。 业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。 此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈。,,,,,,
1442,荣亨逸都精装，保养新，前后间距大，采光充足。,150万,12314,钟楼区永红,荣亨逸都,3室2厅1厨2卫,低楼层 (共18层),121.82㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 85万元 工行 客户偿还,未上传房本照片,视野宽阔，采光充足，配套实施齐全，交通便利。,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,小区位于清潭菜场500米处，公交车有23、56、23、12直达南大街火车站、医院、九洲新世界,,,,,,,,,,
1443,一梯一户 毛坯小高层 南北通透 视野开阔 优质配套,238万,16761,钟楼区永红,路劲雅居乐城市万象,3室2厅1厨2卫,高楼层 (共18层),142㎡,暂无数据,暂无数据,板楼,南 北,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-16,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,一梯一户 毛坯小高层 南北通透 视野开阔 优质配套,开发商：路劲地产集团成立于2003年，位列外资房地产开发企业第1名、全国房企30强。 交付时间：2020年8月的新房，毛坯交付。 产品类型：总高18层的小高层洋房，一梯一户，典型的新一代住宅。 小区优势：品质物业服务，优质公共资源，生活便利，闹中取静。,,"1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证未满5年，缴税成交价的1%。",,,,,,,,,,,,
1444,河阳花苑 1居室 楼层好 电梯房 拎包住,80万,14115,钟楼区永红,河阳花苑,1室1厅1厨1卫,中楼层 (共28层),56.68㎡,暂无数据,暂无数据,板楼,北,钢混结构,精装,两梯六户,有,暂无数据,2023-02-12,商品房,2018-04-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,河阳花苑 1居室 楼层好 电梯房 拎包即住出行便利,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,,,,诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为主，产权清晰。无任何纠纷.放心考虑,,,,,,,
