,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,装修描述,周边配套,交通出行,户型介绍,售房详情,权属抵押,别墅类型,适宜人群,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
973,小区生活设施齐全，环境优美，闹中取静，出行方便。,82万,11550,天宁区兰陵街道,浦北新村,2室1厅1厨1卫,高楼层 (共6层),71㎡,暂无数据,暂无数据,暂无数据,南,混合结构,简装,暂无数据,暂无数据,暂无数据,2022-06-13,商品房,2016-06-13,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,房屋楼层好，视野宽阔，日照采光充足，东边户，配套实施齐全,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,,,
974,兰陵街道九洲新世界广场旁花苑小两房精装修,120万,18439,天宁区兰陵街道,九洲新世界花苑,1室1厅1厨1卫,高楼层 (共17层),65.08㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2022-06-16,商品房,2017-03-01,普通住宅,暂无数据,共有,有抵押,已上传房本照片,楼栋位置佳视野好，视野宽阔，装修清爽，看房方便,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",,出行方便，交通方便，靠市区，适宜居住，小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
975,工人新村北 2室2厅 南,92万,10408,天宁区兰陵街道,工人新村北,2室2厅1厨1卫,低楼层 (共6层),88.4㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2023-11-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
976,兰陵大润发旁，中凉新村，看房方便。,73万,8801,武进区兰陵街道,中凉新村六期,3室2厅1厨1卫,高楼层 (共6层),82.95㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-03-30,商品房,2019-05-15,普通住宅,暂无数据,非共有,有抵押 50万元 客户偿还,已上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利,小区环境好，物业管理好， 小区内有儿童娱乐场，小区停车位充足，电动车充电方便。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,兰陵大润发，丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应。,,,,,,,,,,,
977,小两房，总价低，兰陵商圈，出行方便,86万,13268,天宁区兰陵街道,九洲新家园,2室1厅1厨1卫,高楼层 (共23层),64.82㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-03-12,商品房,2014-09-15,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房位置好，南北空气对流，楼层好，采光无遮挡，两房朝南。,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,,,,,,,,,,,
978,地铁口50米，精装修朝南，九洲商圈，配套齐全。,43万,10064,天宁区兰陵街道,银河湾电脑城,2室1厅1厨1卫,高楼层 (共18层),42.73㎡,暂无数据,暂无数据,板塔结合,南 西南,钢混结构,精装,两梯二十五户,有,暂无数据,2023-03-03,商品房,2011-08-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,地铁口50米，精装修朝南，九洲商圈，配套齐全。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,九洲菜场 阳光MALL，九洲电脑城，九州服装城 医院：二院、三院 邮局：兰陵桥下 邮政储蓄 银行：工商银行、建设银行、交通银行 ，工作生活便利。,,,主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，好谈。,,,,,,,,
979,满五唯一，两房朝南，采光充足，环境优美，诚心出售,115万,13896,天宁区兰陵街道,嘉豪名苑,2室2厅1厨1卫,中楼层 (共11层),82.76㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,有,暂无数据,2023-06-09,商品房,2018-08-10,普通住宅,暂无数据,共有,有抵押 56万元,已上传房本照片,此房满五唯一，南北通透，视野宽阔，采光充足，配套设施齐全。,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,,,此房户型方正，二室一厅面积适中，明厨明卫，采光好，通透性强，日照充足。,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
980,中凉二村 小面积 刚需房 户型方正随时看房,45.8万,8328,武进区兰陵街道,中凉二村西区,1室1厅1厨1卫,中楼层 (共6层),55㎡,暂无数据,暂无数据,塔楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-11-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%。",,小区往南200米就是万达商场，吃喝玩乐都有，有武进中医院，第三人民医院，还有吾悦广场，生活方便。,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
981,此房高楼层，采光好，没有贷款，随时看房,100万,11415,武进区兰陵街道,新城长岛花园,2室2厅1厨1卫,高楼层 (共11层),87.61㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-12-09,商品房,2009-07-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,1、小区生活设施齐，商场市、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,距离312国道500米，长江路贯穿常州南北，中吴大道是常州东西方向主要干道 房主自荐(业主对房源的描述,,,,,,,,,122360857979,此房高楼层，采光好，没有贷款，随时看房,,,
982,采光好，优质物业，精装2房居住舒适,100万,12372,武进区兰陵街道,新城长岛花园,2室1厅1厨1卫,中楼层 (共18层),80.83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-02,商品房,2017-07-04,普通住宅,暂无数据,共有,有抵押 30万元,已上传房本照片,采光好，优质物业，精装2房居住舒适,小区环境优美，绿化成熟，自带荷花池，适合居住，健身器材一应俱全，洋房小高层错落有致，邻里关系友好,A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,,弘阳广场，湖塘易买得，吾悦广场，嘉禾电影城，万达广场，2；武进中医院，3；农业银行湖塘支行ATM，建设银行湖塘支行ATM,,,,,,,,,,,
983,楼层好 ，采光好，使用面积大，房东诚心出售,160万,15249,天宁区兰陵街道,弘阳上城,3室2厅1厨1卫,中楼层 (共28层),104.93㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-05-28,商品房,2021-05-19,普通住宅,暂无数据,共有,有抵押 60万元,已上传房本照片,楼层好 ，采光好，使用面积大，房东诚心出售,小区地理位置优越，弘阳地产开发，小区全天保安，安全性高，环境优美，绿化好,,,小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园,小区位于中吴大道与长江路交汇处 公交车有23.56.23.28直达南大街火车站 医院 九洲新世界,,,,,,,,,,
984,精装修，楼层好，采光好，使用面积大。,188万,17633,天宁区兰陵街道,兰陵家园,3室2厅1厨1卫,低楼层 (共11层),106.62㎡,暂无数据,90.68㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-08-27,商品房,2011-04-13,普通住宅,满五年,共有,无抵押,已上传房本照片,小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,,,,,,022480815036,精装修，楼层好，采光好，使用面积大。,,,
985,中高楼层，采光刺眼， 拎包入住  随时看房,152万,13388,天宁区兰陵街道,弘阳上城,3室2厅1厨1卫,中楼层 (共33层),113.54㎡,暂无数据,83.69㎡,平房,南 北,钢混结构,毛坯,两梯四户,有,暂无数据,2023-08-04,商品房,2019-04-23,普通住宅,暂无数据,共有,有抵押,已上传房本照片,业主卖房改善换房，随时看房，业主随时可以签约，接受贷款，诚心出售。,,,,"：
1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,"：
成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。 小区配套有弘阳生活广场大型综合体。吃喝娱乐采购一站式解决，距离南大街，湖塘吾悦三公里。与江苏理工学院一路之隔，西面1千米有皇粮浜湿地公园，北面五百米荆川公园。",,,,022402679110,中高楼层  采光刺眼  拎包入住 业主诚心出售 随时看房,,,
986,工人新村北三房，户型方正。业主诚心。,75万,7824,天宁区兰陵街道,工人新村北,3室1厅1厨1卫,高楼层 (共7层),95.87㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2022-04-21,商品房,2008-03-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房东诚心出售，户型好，欢迎看房，随时恭候,小区配套齐全，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，提前联系房东,,,,,,,,
987,采光充足，环境优美，闹中取静 看房方便,90万,10890,天宁区兰陵街道,嘉豪名苑,2室2厅1厨1卫,高楼层 (共11层),82.65㎡,暂无数据,暂无数据,板塔结合,北 南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-16,商品房,2018-12-06,普通住宅,暂无数据,非共有,有抵押 55万元,已上传房本照片,此房楼层好，视野宽阔，采光充足，配套实施齐全，交通便利。,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
988,乾盛兰庭 九洲新世界旁 精装二房朝南楼层好采光佳,135万,14651,天宁区兰陵街道,兰庭,2室2厅1厨1卫,低楼层 (共26层),92.15㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-05-27,商品房,2009-07-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区位于兰陵北路东侧，光华西路以北，与九洲新世界商圈一条马路之隔，小区内环境优美，配套齐全，楼间距大，交通便利，出行方便！,商场：九洲新世界广场、光华路特色餐饮一条街、 医院：三院、二院 邮局：中国邮政 银行：工商银行、建设银行、农业银行、中国银行等、交通银行 其他：兰陵菜场,,,1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％；二套： 90㎡以下1%的契税，90㎡以上2%的契税； 三套：3%的契税 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：个税1%。产证满五年而且是唯一套住房，免收个税。,,,,,,,022403908747,此房楼层好，采光视野佳，户型方正，装修清爽，拎包入住！,,,
989,九洲新世界花苑一米设计装修花了40多万 时尚轻奢风,230万,17522,天宁区兰陵街道,九洲新世界花苑,3室2厅1厨1卫,高楼层 (共34层),131.27㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-14,商品房,2021-06-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装修，楼层好，诚意出售，小区环境优雅。,"小区环境优美,舒适安静适宜居住，出门即有公交、菜场、银行、商场、美食等，人文素养好，邻里乐于助人，相处和谐。",,,生活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明，坐落有序，现场体验效果更加明显。,绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,,,,,,,,
990,华海精装三房 楼层好 看房方便,330万,22759,天宁区兰陵街道,华海花园,4室2厅1厨2卫,高楼层 (共32层),145㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2019-10-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满两年 南北通风 户型方正。楼层好 视野开阔 采光充足,"位置：小区地理位置，绿化，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24保安巡逻","税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,此房产权清晰，无抵押，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,
991,私房，使用面积大，诚心出售，看房方便。,340万,13992,天宁区兰陵街道,王家场,5室2厅1厨3卫,低楼层 (共2层),243㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,私房，没有户口，房子在规划中，什么时候拆不确定。,,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,此房产权清晰，没有抵押，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
992,私房，面积大，位置可以看房方便,310万,15347,天宁区兰陵街道,王家场,5室2厅1厨2卫,低楼层 (共3层),202㎡,暂无数据,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
私房，没有户口，房子在规划中，什么时候拆不确定。",,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,"：
此房产权清晰，没有抵押，房源真实，业主诚心出售，看房方便，过户全程陪同",,,,,,,
993,九州新世纪四室二厅一厨二卫 位置好 出行方便,450万,21227,天宁区兰陵街道,九洲新世界,4室2厅1厨2卫,中楼层 (共27层),212㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-03-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,业主诚心出售 位置好，出行方便,,房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,,小区旁成熟社区，配套设施 综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.大型商场齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,小区门口就有共享单车停放点，离小区100米有公交站台，可以乘坐1，12，31，52路等，出行方便,,,,,,,,,,
994,工人新村北区 三房 户型方正 通透明亮,85万,14656,天宁区兰陵街道,工人新村北区,3室1厅1厨1卫,中楼层 (共5层),58㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,2023-03-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型格局好，采光无忧，东边户三房，小区配套成熟,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场……,,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适；2.楼层佳，南北朝向，视野开阔，采光通透。,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
995,楼层好，带车位，布局合理，拎包及住,175万,12963,天宁区兰陵街道,江南佳园,4室2厅1厨2卫,高楼层 (共16层),135㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型周正，格局分布合理，空间感好，通透性强,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住，让你步行就满足一切需要。,,,,小区边有助力脚踏车，多路公交车站台，贯通龙城南北，出行便捷 ，离市区和九州商圈距离较短。,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,,
996,中凉新村七期大三房户型方正出行便利急售,120万,10910,武进区兰陵街道,中凉新村七期东区,3室2厅1厨2卫,高楼层 (共6层),110㎡,暂无数据,暂无数据,板楼,东南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,中凉七期中装大三房三面采光生活方便,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,湖塘易买得大卖场，吾悦广场，嘉禾电影城，万达广场，2；武进中医院，3；农业银行湖塘支行ATM，建设银行湖塘支行ATM,公交车有多条路线直达，BIT线路通行，出行交通便利！菜场，大卖场都很方便！,,,,,,,,,,
997,浦北公寓 两层 单价少 户型方正,200万,9804,天宁区兰陵街道,浦北公寓,6室3厅3厨1卫,高楼层 (共6层),204㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野好 采光更好 户型方正   交通便利,,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离九洲近，吃喝玩乐都全。,,,,此房无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，价钱可谈,,,,,,,
998,精装交付未入住，九洲商圈，配套设施齐全，环境优美。,320万,23704,天宁区兰陵街道,九州新世界君玺,3室2厅1厨2卫,低楼层 (共32层),135㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装交付未入住，九洲商圈，配套设施齐全，环境优美。,小区生活设施齐，商场、菜市场、银行等，交通便捷，2.小区内有健身器材，可供小区居民使用；3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。4.小区内24小时保安巡逻,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,到九洲新世界100米，到地铁一号线100米，到吾悦国际500米，到九洲农贸市场50米。,,,,,,,,,,,
999,棕榈湾精装别墅 前后花园 位置好拎包住,590万,28669,武进区兰陵街道,棕榈湾,4室2厅1厨4卫,低楼层 (共4层),205.8㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2022-07-06,商品房,暂无数据,别墅,暂无数据,非共有,有抵押,未上传房本照片,户型方正通透，精装联排，前后花园，保养好拎包住。,,"1：契税：首套房90平米以下1%，90平米以下1.5%；二套房90平米以下1%，90平米以上2%。3套及以上不论面积统一3%
2：增值税：满两年免征。不满两年5.3%
3：个人所得税：除满五唯一免征外，其他均按全额的1%征收。",,,,1、户型方正，格局分布合理，空间感好，通透性强，居住舒适 2、楼层佳，采光好，南北朝向，采光充足。3、小区环境优美，内有健身器材和娱乐广场，物业服务态度好。,诚心出售，价格可以再谈，欢迎看房，随时恭候本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为主，产权清晰。无任何纠纷.放心考虑,,暂无数据,,,,,,
1000,此房业主诚心出售，精装保养好，产权清晰，证件齐全！,237万,20861,天宁区兰陵街道,九洲新世界花苑,3室2厅1厨1卫,中楼层 (共33层),113.61㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 95万元 建设银行 客户偿还,未上传房本照片,此房业主诚心出售，精装保养好，产权清晰，证件齐全，欢迎联系！,1.小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、适宜居住， 2：小区内有健身器材、绿化环境好； 3：小区停车位充足，建有地面临时停车位以及地下停车位；4：小区内24小时保安巡逻。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,此房业主诚心出售，精装保养好，产权清晰，证件齐全，欢迎联系看房，房东卖了再买！,,,,,,,,
1001,棕榈湾毛坯联排别墅地上三层带花园随时看房,560万,23211,武进区兰陵街道,棕榈湾,5室2厅1厨4卫,低楼层 (共3层),241.27㎡,,暂无数据,,北 南,混合结构,毛坯,,,暂无数据,2022-09-14,商品房,暂无数据,别墅,暂无数据,共有,有抵押 185万元,未上传房本照片,棕榈湾毛坯联排别墅地上三层带花园随时看房,小区较新，临江苏理工学院，学术氛围深厚。小区绿化好，交通便利，闹中取静小区环境优美，舒适安静 适宜居住，出门即有公交，菜场，银行 CHAO市 美食等 人文素养好，乐于助人，相处和谐,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区出门不到一百米有公交站台。往北500米是中吴大道。往南200米可上312国道。出行方便，居住舒适,,,,联排,,,,,,
1002,万达旁 外滩一号两房 有钥匙随时看房,125万,13737,武进区兰陵街道,外滩壹号花园,2室2厅1厨1卫,低楼层 (共34层),91㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元 客户偿还,未上传房本照片,"：
此房精装，户型方正，视野采光好",小区大门口湖塘桥北初中，距离刘海粟校区500米，金太阳幼儿园600米,,,"湖塘吾悦易买得1公里，吾悦广场1.1公里，嘉禾电影院1公里，万达广场1.3公里，兰陵欧尚2公里。2；银行；中国建设银行湖塘支行ATM1,7公里，中国农业银行湖塘支行ATM1.6公里，中国银行1.9公里。3；医院；武进中医院1.3公里",小区位于中吴大道与武宜路交叉口，出行交通有201，901，302，220，14.地铁一号线直达南大街，火车站，交通方便,,,,,,,,,,
1003,户型格局好，优质户型，户型方正，通透明亮,106万,12046,天宁区兰陵街道,丰臣南郡,2室1厅1厨1卫,高楼层 (共26层),88㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房位置好，南北空气对流，楼层好，采光无遮挡，两房朝南,1.小区生活实施齐全，商场，菜市场，银行等； 2：小区内有健身器材、小型篮球场，可供小区居民使用； 3：小区停车位充足，建有地面临时停车位以及底下停车位；4：小区内24小时保安巡逻。,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,
1004,格局好，采光好，户型方正 ，配套全，交通便利,162万,15429,天宁区兰陵街道,兰陵尚品花园A区,3室2厅1厨2卫,低楼层 (共11层),105㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-11-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,,华润万象城，茶山站地铁口，兰陵大润发，兰园，各大银行，各类小吃美食一应。,,户型好，通透性强，居住舒适，每个房间都有窗户，楼层佳，朝向南北，视野开阔，采光透亮。,,,,,,,,,
1005,兰蕙佳园 3室2厅 南,158万,17165,武进区兰陵街道,兰蕙佳园,3室2厅1厨1卫,中楼层 (共27层),92.05㎡,暂无数据,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
1006,工人新村北区 2室1厅 南,64万,11150,天宁区兰陵街道,工人新村北区,2室1厅1厨1卫,高楼层 (共5层),57.4㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
