,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,税费解析,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,户型介绍,交通出行,用水类型,用电类型,售房详情,权属抵押,装修描述
103,太湖庄园 毛坯一房两厅一卫  楼层佳 采光好 看房方便,90万,14074,武进区雪堰镇,太湖庄园,1室2厅1厨1卫,中楼层 (共11层),63.95㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-03-30,商品房,2021-10-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房视野佳，采光充足，次新房。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
104,此房格局好，南北通风户型，全天采光，户型方正,90万,10620,武进区雪堰镇,旷达太湖花园,2室2厅1厨1卫,中楼层 (共6层),84.75㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-06-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，南北通风户型，户型方正楼层好,适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,,90个平方以下满五唯一税费一个点，90个平方以上满五唯一税费1.5，二套房90个平方以下，税费两个点，90个平方以上2.5,暂无数据,板塔结合,两梯八户,有,,,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,,,,
105,"房格局好,全天采光,户型方正视野好,干湿分离.",136万,15907,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,高楼层 (共11层),85.5㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-05-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"房格局好,全天采光,户型方正视野好,干湿分离..",适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1% 房主自荐(业主对房源的描述),暂无数据,暂无数据,暂无数据,暂无数据,"小区生活设施齐,商场、菜市场、银行等,交通便捷;2、小区内有健身 器材,小型球场,可供小区居民使用:3、小区内停车位充足,建有地上停车场和 地下车库;人车分流",,,,,,,
106,户型方正，视野开阔，拎包入住。格局好,90万,11181,武进区雪堰镇,悦欣庭院,2室2厅1厨1卫,低楼层 (共11层),80.5㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，视野开阔，在小区中间位置,本小区适合任何人居住，小区里面有娱乐设施供小区人使用。上街很方便,,首套房1%二套房1.5%二套以上2%不满两，年交5.3的增值税,暂无数据,暂无数据,两梯三户,有,,南北通风格局好，楼层好，采光充足，通风效果好，两间朝南，一眼望去就是桃花,,,,,,
107,此房满二有钥匙采光好，出门就有公园,98万,11265,武进区雪堰镇,望湖怡景,2室2厅1厨1卫,低楼层 (共18层),87㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-10-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二有钥匙采光好，出门就有公园,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者是湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用,,暂无数据,板塔结合,两梯三户,有,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
108,南北通透，楼层好，采光充足，视野开阔,120万,13983,武进区雪堰镇,旷达太湖花园,2室2厅1厨1卫,低楼层 (共3层),85.82㎡,暂无数据,南 北,未知结构,简装,,暂无数据,2023-09-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,不满五，南北通透格局，楼层好，采光充足，视野开阔！,该小区适合任何人居住，小区环境优美，配套齐全，里面有跑道，花园,,,暂无数据,暂无数据,暂无数据,暂无数据,该小区安保设施好，人文素养高，环境优美，绿化果树多，负氧离子高。,户型方正，南北朝向，东边户，南北通透！视野开阔，绿化果树多。,,,,,,
109,悦欣庭院 3室1厅 南,96万,10796,武进区雪堰镇,悦欣庭院,3室1厅1厨1卫,低楼层 (共11层),88.93㎡,暂无数据,南,未知结构,简装,,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
110,此房满二，有钥匙采光好，出门就有公园,76万,10411,武进区雪堰镇,悦欣庭院,2室1厅1厨1卫,低楼层 (共11层),73㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-10-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二，有钥匙采光好，出门就有公园,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用,,暂无数据,暂无数据,两梯三户,有,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
111,旷达太湖花园 2室2厅 南 北,95万,11047,武进区雪堰镇,旷达太湖花园,2室2厅1厨1卫,中楼层 (共6层),86㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-06-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
112,这小区座落在街头购物方便。小区环境优美卫生干净整洁,120万,12055,武进区雪堰镇,雪湖新苑,2室1厅1厨1卫,中楼层 (共18层),99.55㎡,暂无数据,东 东南,钢混结构,精装,,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是小高层电梯房户型方正。出门有菜场。有小卖部购物方便。,小区设施配套齐全.带有电梯老人小孩出入方便.小区做到人车分流安全.小区内设有健身小广场。可以健身运动,,,暂无数据,板塔结合,暂无数据,暂无数据,小区得房率高。小区带有电梯方便老人小孩出门方便.，小区人车分流安全。小区内绿化卫生整洁优美舒适。首付不高适合小夫妻工资不高的朋友,,,,,此房是小高层带有电梯。户型方正采光通透。两室适合年轻小夫妻做婚房。而且首付不高。,,
113,此房格局好，南北通风户型，全天采光，户型方正,85万,10030,武进区雪堰镇,旷达太湖花园,2室2厅1厨1卫,高楼层 (共6层),84.75㎡,暂无数据,南 北,钢混结构,毛坯,,暂无数据,2023-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美，适合任何人居住，户型方正，楼层好,适合度假养老，居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,,90个平方以下满5唯一税费一个点，90个平方以上满五唯一税费1.5，两套房90平方以下税费两个点，90平方以上两2.5,暂无数据,板塔结合,两梯八户,有,,,小区生活设施，商场，菜市场，银行等交通便捷，小区内有健身器材小型球场可供小区居民使用,,,,,
114,此房满五唯一，中间楼层，采光视野都不错,90万,9891,武进区雪堰镇,望湖名门,2室2厅1厨1卫,中楼层 (共11层),91㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2023-07-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，户型方正，采光充足,人文素养高，绿化环境优美，干净整洁，交通便利，适合任何人居住。,,不满90平交1%的税，满90平到120平交1.5的税，120以上，交两点的税，不满两年交5.3的增值税,暂无数据,板塔结合,暂无数据,暂无数据,楼间距大，绿化好，本小区有娱乐设施，可供小区里的人使用！也有环型跑道,,,,,,,
115,一楼带大院子 精装未入住 太湖庄园洋房 看房方便,160万,19278,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,低楼层 (共11层),83㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-05-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装未入住，环境好，带大院子。。。。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
116,太湖庄园上叠 视野好 采光无遮挡 看房方便,180万,14954,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,中楼层 (共4层),120.37㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-04-04,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房南北通透，采光好，能看到点湖面,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
117,此房南北通透格局好视野宽阔彩光充足配套设施齐全,125万,14535,武进区雪堰镇,旷达太湖花园,3室2厅1厨2卫,低楼层 (共5层),86㎡,暂无数据,南 北,未知结构,其他,,暂无数据,2023-05-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房南北通透，格局好，视野宽阔，采光充足，配套设施齐全,,,,暂无数据,暂无数据,暂无数据,暂无数据,小区风景优美，活动广场，人民休闲娱乐场所，健身方便，步行几公里就是公园,户型两间朝南，前面带个大花园，阳光四射，可以在院子里喝喝小茶,,,,房东要去外地发展，过来居住不方便，想把这边房子卖了，到别的城市去买一套,,此房是装精装房，品牌，家具家电，房东不怎么住，保养很好，装修的很有风格
118,环境好，交通便利，房东人很好.,88万,9906,武进区雪堰镇,望湖名门,3室1厅1厨1卫,高楼层 (共11层),88.84㎡,暂无数据,南,钢混结构,简装,,暂无数据,2023-01-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,暂无数据,板塔结合,暂无数据,暂无数据,,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,
119,"此房满二有钥匙采光好,出门就有公园",120万,13954,武进区雪堰镇,旷达太湖花园,3室1厅1厨2卫,中楼层 (共6层),86㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
120,诚售 精装两房 南北通透 看房需提前预约 太湖庄园,130万,15663,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,高楼层 (共11层),83㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房楼层好，采光佳，装修干净清爽,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
121,"此房满二有钥匙采光好,出门就有公园",120万,13954,武进区雪堰镇,旷达太湖花园,3室1厅1厨2卫,中楼层 (共6层),86㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-08-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
122,精装洋房 采光好 视野好 家具家电齐全 拎包入住,120万,13701,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,中楼层 (共11层),87.59㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-03-06,商品房,2022-09-22,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房南北通透的格局，精装未入住，家具家电齐全，视野好，采..,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方，   若首套二套房均为成交价的1%。三套及以上的成交价的3%     2、增值税：产证满2年免收增值税，未满2年征收5.6％。   个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
123,太湖庄园精装洋房 未入住 房东诚售 看房方便,105万,11988,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,中楼层 (共11层),87.59㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-05-23,商品房,2022-09-15,普通住宅,未满两年,共有,有抵押,已上传房本照片,此房楼层好，采光佳，南北通透。,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,税费分析，契税缴纳按名下房产套数定，此房面积小于90平方， 若首套二套房均为成交价的1%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%,暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
124,小区是新小区，楼层好，全天采光，南北通透小区环境好,120万,12766,武进区雪堰镇,湖山颐舍,3室2厅1厨2卫,中楼层 (共15层),94㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美人文素养高停车位充足有娱乐设施共小区人使用还有散,适合度假养老，居住使用，户型方正，采光好，小区里有环形跑道，也有娱乐设施，供小区人使用,小区生活设施，菜场银行都很方便，小区也有健身器材，离幼儿园500米,,暂无数据,暂无数据,暂无数据,暂无数据,,此房户型方正，三间朝南。南北通风，视线好。采光充足。楼层也好,,,,,,
125,小区环境优美，绿化面积覆盖高，干净整洁,89万,10723,武进区雪堰镇,旷达太湖花园,2室1厅1厨1卫,低楼层 (共6层),83㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱..,,小区生活设施齐，商场、抄市、菜市场、银行等，交通便捷；2、小区内有健身器材，小型篮球场，可供小区居民使用；,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,户型周正，格局分布合理，空间感好，通透性强，居住舒适；南北通透,,,,,,
126,"此房满二有钥匙采光好,出门就有公园",102.8万,10280,武进区雪堰镇,雪湖家园,3室2厅1厨2卫,中楼层 (共6层),100㎡,暂无数据,南 北,钢混结构,简装,,暂无数据,2023-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,两梯两户,有,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
127,太湖庄园精装两房 中甲楼层 采光无遮挡 看房方便,99万,11928,武进区雪堰镇,太湖庄园,2室2厅1厨1卫,中楼层 (共11层),83㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-08-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房精装修的房子，未入住，中间楼层，采光好！！！,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
128,"此房满二有钥匙采光好,出门就有公园",56万,9689,武进区雪堰镇,旷达太湖花园,1室1厅1厨1卫,中楼层 (共5层),57.8㎡,暂无数据,南,钢混结构,毛坯,,暂无数据,2023-08-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
129,上海发展，装修后一直没住过，虽是二手房其实是新房,100万,12267,武进区雪堰镇,旷达太湖花园,2室2厅1厨1卫,低楼层 (共6层),81.52㎡,暂无数据,南,未知结构,精装,,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满两年，房东只有疫情时候住过，基本全新。,,"地理位置得天独厚，出行方便！
五、推荐理由
让您体验惬意的生活，充分享受生活的美！",,暂无数据,暂无数据,暂无数据,暂无数据,"二、房屋介绍
格局合理，没有浪费面积，利用空间大，是 的好户型
三、社区配套
1、环境优雅，低密度社区
2、小区绿化高",,,,,,,
130,交通便利，生活设施齐全，离菜场100米,90万,8515,武进区雪堰镇,枫叶花园,2室2厅1厨1卫,中楼层 (共7层),105.7㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,交通便利，生活设施齐全，，生活设施完善，采光无遮挡,,,,暂无数据,板塔结合,暂无数据,无,小区，生活设施齐全，小区有健身器材，提供小区居民使用，小区有地面停车位,户型周正，格局分布，合理，空间感好，通透性强，居住舒适，朝向南北,,,,,满两年免收增值税，首套90平以下税率1%，二套90平以上为1.5%，不满两年交5.8%的增值税,
131,"此房满二有钥匙采光好,出门就有公园",90万,10117,武进区雪堰镇,望湖名门,2室2厅1厨2卫,低楼层 (共11层),88.96㎡,暂无数据,南 北,钢混结构,精装,,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,板塔结合,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
132,太湖庄园毛坯下叠 带南北院子 南北通透 价可谈,200万,15716,武进区雪堰镇,太湖庄园,3室2厅1厨3卫,低楼层 (共4层),127.26㎡,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,2023-10-16,商品房,2022-12-13,别墅,未满两年,非共有,有抵押,已上传房本照片,此房带院子，下叠，有钥匙，价可谈,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
133,"此房满二有钥匙采光好,出门就有公园",76万,12667,武进区雪堰镇,旷达太湖花园,1室1厅1厨1卫,中楼层 (共5层),60㎡,暂无数据,东 西,钢混结构,精装,,暂无数据,2023-06-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
134,太湖庄园精装未入住洋房 看房方便 价可谈,72万,11259,武进区雪堰镇,太湖庄园,1室2厅1厨1卫,中楼层 (共11层),63.95㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-10-06,商品房,2022-10-25,普通住宅,未满两年,非共有,有抵押 51万元,已上传房本照片,此房精装未入住，总价低，看房方便,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
135,太湖旁精装两居室，拎包即可，中间楼层采光好！,80万,12103,武进区雪堰镇,太湖庄园,1室2厅1厨1卫,中楼层 (共11层),66.1㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-06-11,商品房,2022-10-12,普通住宅,未满两年,共有,无抵押,已上传房本照片,"此房满二有钥匙采光好,出来太湖！",适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,适合度假养老居住使用，型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,"税费分析，此房面积大于90平方，所以契税缴纳按名下房产套数定 若首套房契税为成交价的1.5％,。二套房成交价的2%。三套及以上的成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％。 个税需缴纳成交价的1%",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
136,价可谈 湖景景观房 看房方便 依山傍水 太湖庄园,78万,13237,武进区雪堰镇,太湖庄园,1室2厅1厨1卫,中楼层 (共7层),58.93㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-03-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,适合度假养老居住使用，户型方正采光好视野好 湖景房,适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳,自带7500平沿湖商店，出社区大门右转500米常州太滆美食街，东侧3公里地铁s2马山站站点，4公里湖底隧道口，交通便捷到常州无锡市区,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯住房，免收个税。满五和唯一两个条件缺一不可。",暂无数据,暂无数据,暂无数据,暂无数据,,,,,,,,
137,"：房格局全天采光,户型方正视野好,干湿分离.",57万,9828,武进区雪堰镇,旷达太湖花园,1室2厅1厨1卫,中楼层 (共6层),58㎡,暂无数据,南 北,未知结构,毛坯,,暂无数据,2023-05-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离..","：
适合度假养老居住使用，户型方正采光好，出门可沿太湖漫步或者去湿地公园打拳",,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1% 房主自荐(业主对房源的描述),暂无数据,暂无数据,暂无数据,暂无数据,"小区生活设施齐,商场、菜市场、银行等,交通便捷;2、小区内有健身 器材,小型球场,可供小区居民使用:3、小区内停车位充足,建有地上停车场和 地下车库;人车分流",,,,,,,
138,此房满二有钥匙，采光好，出门就有公园,110万,12500,武进区雪堰镇,旷达福源二区,2室2厅1厨1卫,低楼层 (共18层),88㎡,暂无数据,南 北,未知结构,其他,,暂无数据,2023-11-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二有钥匙，采光好，出门就有公园,适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步或者湿地公园打拳,小区生活设施，商场，菜市场银行等交通便捷，小区内有健身器材，小型球场可供小区居民使用,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道,,,,,,,
139,太湖湾度假村 1室1厅 南,25万,5357,武进区雪堰镇,太湖湾度假村,1室1厅1厨1卫,低楼层 (共4层),46.67㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-07-16,商品房,暂无数据,商住两用,暂无数据,共有,无抵押,未上传房本照片,,,,,暂无数据,暂无数据,暂无数据,暂无数据,,,,未知,未知,,,
140,"此房满二有钥匙采光好,出门就有公园",98万,11530,武进区雪堰镇,悦欣庭院,2室2厅1厨2卫,高楼层 (共11层),85㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-10-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满二有钥匙采光好,出门就有公园",适合度假养老居住使用，户型方正，采光好，出门可沿太湖漫步，或者去湿地公园打拳,小区生活设施，商场菜市场，银行等交通便捷，小区内有健身器材小型球场，可供小区居民使用，,,暂无数据,暂无数据,暂无数据,暂无数据,小区环境优美，人文素养高，停车位充足，有娱乐设施供小区人使用，还有散步跑道！,,,,,,,
